date,temp,min,max,prcp,mxspd
01-12-2020,15.77777778,9.222222222,25.61111111,0,1.491888889
02-12-2020,16.22222222,9.388888889,25,0,0
03-12-2020,15.77777778,9.777777778,26,0,0
04-12-2020,16.16666667,9.388888889,24.11111111,0,1.491888889
05-12-2020,18,13.61111111,23.61111111,0,1.491888889
06-12-2020,17.72222222,14,24.38888889,0,2.109222222
07-12-2020,17.94444444,13,25,0,1.491888889
08-12-2020,16.9,12,26.3,0,1
09-12-2020,17.7,11.2,25.8,0,1
10-12-2020,18.3,12.4,26,0,1
11-12-2020,18.3,12.4,26,0,1
12-12-2020,18.3,12.4,26,0,1
13-12-2020,18.3,12.4,26,0,1
14-12-2020,18.3,12.4,26,0,1
15-12-2020,18.3,12.4,26,0,1
16-12-2020,18.3,12.4,26,0,1
17-12-2020,18.3,12.4,26,0,1
18-12-2020,18.3,12.4,26,0,1
19-12-2020,18.3,12.4,26,0,1
20-12-2020,18.3,12.4,26,0,1
21-12-2020,18.3,12.4,26,0,1
22-12-2020,18.3,12.4,26,0,1
23-12-2020,18.3,12.4,26,0,1
24-12-2020,18.3,12.4,26,0,1
25-12-2020,18.3,12.4,26,0,1
26-12-2020,18.3,12.4,26,0,1
27-12-2020,18.3,12.4,26,0,1
28-12-2020,18.3,12.4,26,0,1
29-12-2020,18.3,12.4,26,0,1
30-12-2020,18.3,12.4,26,0,1
31-12-2020,18.3,12.4,26,0,1
